symbol,sectorKey,industryKey,sector,industry,updated_utc
CNX,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:00:56Z
CNXC,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:12Z
COLD,real-estate,reit-industrial,Real Estate,REIT - Industrial,2026-03-13T14:00:56Z
COP,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T13:55:14Z
CORT,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:13Z
COST,consumer-defensive,discount-stores,Consumer Defensive,Discount Stores,2026-03-13T13:55:15Z
CPNG,consumer-cyclical,internet-retail,Consumer Cyclical,Internet Retail,2026-03-13T17:16:14Z
CPRT,industrials,specialty-business-services,Industrials,Specialty Business Services,2026-03-13T14:00:58Z
CPRX,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T14:25:53Z
CRSP,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:15Z
CSCO,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T13:55:16Z
CSTM,basic-materials,aluminum,Basic Materials,Aluminum,2026-03-13T14:00:59Z
CSX,industrials,railroads,Industrials,Railroads,2026-03-13T14:25:54Z
CTAS,industrials,specialty-business-services,Industrials,Specialty Business Services,2026-03-13T17:16:16Z
CTRA,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:00:59Z
CTRE,real-estate,reit-healthcare-facilities,Real Estate,REIT - Healthcare Facilities,2026-03-13T13:55:16Z
CTSH,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:17Z
CVLT,technology,software-application,Technology,Software - Application,2026-03-13T17:16:18Z
CVNA,consumer-cyclical,auto-truck-dealerships,Consumer Cyclical,Auto & Truck Dealerships,2026-03-13T17:16:18Z
CVX,energy,oil-gas-integrated,Energy,Oil & Gas Integrated,2026-03-13T14:01:00Z
CYTK,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:19Z
DASH,consumer-cyclical,internet-retail,Consumer Cyclical,Internet Retail,2026-03-13T17:16:20Z
DELL,technology,computer-hardware,Technology,Computer Hardware,2026-03-13T14:01:00Z
DHR,healthcare,diagnostics-research,Healthcare,Diagnostics & Research,2026-03-13T14:25:56Z
DJT,communication-services,internet-content-information,Communication Services,Internet Content & Information,2026-03-13T17:16:21Z
DKS,consumer-cyclical,specialty-retail,Consumer Cyclical,Specialty Retail,2026-03-13T14:25:56Z
DLO,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:16:22Z
DOCN,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T14:20:19Z
DOW,basic-materials,chemicals,Basic Materials,Chemicals,2026-03-13T14:01:01Z
DRH,real-estate,reit-hotel-motel,Real Estate,REIT - Hotel & Motel,2026-03-13T14:25:57Z
DTE,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:01Z
DUK,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:02Z
DVN,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:01:02Z
DXCM,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T14:25:59Z
ECVT,basic-materials,specialty-chemicals,Basic Materials,Specialty Chemicals,2026-03-13T13:55:17Z
ED,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:17Z
EFC,real-estate,reit-mortgage,Real Estate,REIT - Mortgage,2026-03-13T17:16:26Z
EIX,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:03Z
ELS,real-estate,reit-residential,Real Estate,REIT - Residential,2026-03-13T14:01:04Z
ENPH,technology,solar,Technology,Solar,2026-03-13T13:55:18Z
ENTG,technology,semiconductor-equipment-materials,Technology,Semiconductor Equipment & Materials,2026-03-13T17:16:27Z
EOSE,industrials,electrical-equipment-parts,Industrials,Electrical Equipment & Parts,2026-03-13T17:16:28Z
EQT,energy,oil-gas-e-p,Energy,Oil & Gas E&P,2026-03-13T14:01:05Z
ERIC,technology,communication-equipment,Technology,Communication Equipment,2026-03-13T14:01:05Z
ERO,basic-materials,copper,Basic Materials,Copper,2026-03-13T14:26:02Z
ETR,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T13:55:18Z
EVLV,industrials,security-protection-services,Industrials,Security & Protection Services,2026-03-13T17:16:30Z
EVRG,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:06Z
EXAS,healthcare,diagnostics-research,Healthcare,Diagnostics & Research,2026-03-13T14:01:07Z
EXC,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:07Z
EXLS,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:31Z
EYPT,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:32Z
F,consumer-cyclical,auto-manufacturers,Consumer Cyclical,Auto Manufacturers,2026-03-13T14:26:03Z
FCX,basic-materials,copper,Basic Materials,Copper,2026-03-13T14:01:08Z
FE,utilities,utilities-regulated-electric,Utilities,Utilities - Regulated Electric,2026-03-13T14:01:08Z
FIG,technology,software-application,Technology,Software - Application,2026-03-13T17:16:34Z
FIVN,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:16:34Z
FLNC,utilities,utilities-renewable,Utilities,Utilities - Renewable,2026-03-13T17:16:35Z
FOUR,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:16:35Z
FSK,financial-services,asset-management,Financial Services,Asset Management,2026-03-13T17:16:36Z
FSLY,technology,software-application,Technology,Software - Application,2026-03-13T14:01:09Z
FTAI,industrials,rental-leasing-services,Industrials,Rental & Leasing Services,2026-03-13T14:26:05Z
FTI,energy,oil-gas-equipment-services,Energy,Oil & Gas Equipment & Services,2026-03-13T14:01:09Z
FTV,technology,scientific-technical-instruments,Technology,Scientific & Technical Instruments,2026-03-13T17:16:38Z
GAP,consumer-cyclical,apparel-retail,Consumer Cyclical,Apparel Retail,2026-03-13T14:26:06Z
GBCI,financial-services,banks-regional,Financial Services,Banks - Regional,2026-03-13T14:26:06Z
